CO2 (ppmv),year_co2,temp,year_temp,GasAge,CH4mean,mayo_date,mayo_rain,wex_date,wexford_rain
368.02,2001.0,218.3,2000,1937.0,907.0,1956-09-01,49.9,1987-09-01,100.5
361.78,1998.0,218.3,1993,1824.0,784.0,1956-10-01,98.8,1987-10-01,176.7
359.65,1996.0,218.3,1987,1820.0,762.0,1956-11-01,51.6,1987-11-01,67.7
357.11,1994.0,218.3,1981,1799.0,710.0,1956-12-01,180.6,1987-12-01,91.5
353.95,1993.0,218.3,1974,1766.0,727.0,1957-01-01,148.5,1988-01-01,205.4
353.72,1992.0,218.3,1967,1748.0,696.0,1957-02-01,137.6,1988-02-01,45.4
352.42,1991.0,218.3,1961,1743.0,683.0,1957-03-01,97.0,1988-03-01,68.5
350.81,1989.0,218.3,1953,1692.0,679.0,1957-04-01,48.2,1988-04-01,49.1
349.8,1989.0,218.3,1944,1653.0,676.0,1957-05-01,40.4,1988-05-01,92.6
349.28,1988.0,218.3,1936,1605.0,651.0,1957-06-01,41.6,1988-06-01,27.7
347.6,1988.0,218.3,1927,1568.0,684.0,1957-07-01,105.4,1988-07-01,139.9
345.44,1987.0,218.3,1919,1547.0,681.0,1957-08-01,78.0,1988-08-01,86.1
344.72,1986.0,218.3,1911,1491.0,670.0,1957-09-01,102.2,1988-09-01,34.3
343.97,1986.0,219.2,1902,1472.0,644.0,1957-10-01,91.1,1988-10-01,120.2
343.11,1985.0,220.4,1894,1417.0,670.0,1957-11-01,73.3,1988-11-01,53.5
342.05,1984.0,217.7,1885,1411.0,668.0,1957-12-01,154.4,1988-12-01,44.6
341.33,1983.0,217.0,1876,1396.0,680.0,1958-01-01,160.3,1989-01-01,55.7
339.46,1983.0,217.4,1868,1282.0,667.0,1958-02-01,75.7,1989-02-01,64.8
334.85,1979.0,217.4,1859,1272.0,669.0,1958-03-01,86.4,1989-03-01,92.6
335.55,1976.0,216.9,1850,1214.0,680.0,1958-04-01,30.6,1989-04-01,76.6
332.37,1976.0,218.2,1840,1208.0,643.0,1958-05-01,118.0,1989-05-01,10.4
332.37,1975.0,216.8,1830,1089.0,664.0,1958-06-01,144.5,1989-06-01,50.5
331.55,1974.0,216.3,1820,1081.0,647.0,1958-07-01,41.7,1989-07-01,12.9
328.42,1972.0,217.8,1810,1053.0,648.0,1958-08-01,149.9,1989-08-01,63.3
330.35,1972.0,217.0,1799,1011.0,640.0,1958-09-01,118.6,1989-09-01,36.0
326.31,1970.0,218.4,1789,1004.0,636.0,1958-10-01,82.5,1989-10-01,86.8
326.65,1970.0,217.7,1778,913.0,635.0,1958-11-01,78.0,1989-11-01,67.5
324.91,1970.0,216.7,1768,858.0,633.0,1958-12-01,147.0,1989-12-01,145.1
324.56,1970.0,216.2,1758,818.0,644.0,1959-01-01,72.1,1990-01-01,98.3
324.71,1969.0,217.9,1747,733.0,643.0,1959-02-01,30.4,1990-02-01,120.1
325.08,1968.0,215.0,1737,725.0,629.0,1959-03-01,88.1,1990-03-01,11.7
324.09,1968.0,217.8,1726,702.0,635.0,1959-04-01,88.2,1990-04-01,26.7
320.38,1968.0,218.2,1716,612.0,635.0,1959-05-01,37.1,1990-05-01,45.9
320.49,1966.0,218.1,1705,601.0,650.0,1959-06-01,75.9,1990-06-01,97.5
322.17,1966.0,217.4,1694,519.0,631.0,1959-07-01,72.4,1990-07-01,38.3
320.98,1965.0,217.3,1683,507.0,638.0,1959-08-01,47.6,1990-08-01,28.9
319.2,1965.0,216.0,1672,423.0,632.0,1959-09-01,46.2,1990-09-01,48.2
